tf,corr,nz,sum_a,sum_b,mean_a,mean_b,mean_ratio
NFATC1,0.9999999999999998,4940,144.27625040299924,144.2762504029993,0.008375493463543436,0.00837549346354344,0.9999999999999996
ZNF205,0.9999999999999998,1959,90.42550340130003,90.42550340130003,0.005249361627847442,0.005249361627847442,1.0
MXD1,0.9999999999999998,3054,168.31623865646563,168.31623865646563,0.009771057625476932,0.009771057625476932,1.0
ZBED1,0.9999999999999998,223,8.113350603863001,8.113350603863001,0.0004709944620842332,0.0004709944620842332,1.0
GTF3A,0.9999999999999998,3488,62.930068174360564,62.930068174360564,0.0036532026108417838,0.0036532026108417838,1.0
MYB,0.9999999999999998,4268,138.89558159573573,138.89558159573573,0.008063136049909192,0.008063136049909192,1.0
JRKL,0.9999999999999998,484,15.447329672797686,15.447329672797686,0.0008967450175779453,0.0008967450175779453,1.0
ZNF260,0.9999999999999998,5221,83.1349338143335,83.1349338143335,0.0048261310701459125,0.0048261310701459125,1.0
SMAD3,0.9999999999999998,4960,248.3508261359947,248.35082613599468,0.014417208065482103,0.014417208065482101,1.0000000000000002
NFYB,0.9999999999999998,2349,77.72315195934368,77.7231519593437,0.004511967488641802,0.004511967488641803,0.9999999999999998
ZNF425,0.9999999999999998,2762,60.406051685889,60.406051685889,0.0035066789554097874,0.0035066789554097874,1.0
PBX3,0.9999999999999998,4455,99.30870221962056,99.30870221962056,0.005765047150796503,0.005765047150796503,1.0
DPF1,0.9999999999999998,454,9.694571143801443,9.694571143801442,0.0005627871324626404,0.0005627871324626403,1.0000000000000002
ZNF284,0.9999999999999998,1447,37.20400683123259,37.20400683123259,0.002159758901151317,0.002159758901151317,1.0
CREBZF,0.9999999999999998,153,11.601863845503642,11.601863845503642,0.0006735088729538861,0.0006735088729538861,1.0
ZNF566,0.9999999999999998,5619,107.46896661375116,107.46896661375118,0.0062387650420150445,0.006238765042015045,0.9999999999999999
ZNF396,0.9999999999999998,1229,37.45153806818896,37.45153806818897,0.0021741285306042584,0.002174128530604259,0.9999999999999998
SPIB,0.9999999999999998,5844,432.83154446652554,432.83154446652543,0.025126642544207916,0.02512664254420791,1.0000000000000002
